GeneName	GeneLevelTPM
A1BG	50195.2
A1CF	2252
A2BP1	0
A2LD1	355.53
A2ML1	0
A2M	80365.76
A4GALT	183
A4GNT	0
AAA1	1
AAAS	1381
AACSL	0
AACS	560
AADACL2	0
AADACL3	0
AADACL4	0
AADAC	8603
AADAT	163
AAGAB	1166
AAK1	867
AAMP	4236
AANAT	0
AARS2	966.99
AARSD1	1192
AARS	6635
AASDHPPT	1190
AASDH	263
AASS	1170
AATF	2198
AATK	42
ABAT	10355
ABCA10	43
ABCA11P	84.36
ABCA12	0
ABCA13	4
ABCA17P	3
ABCA1	2608
ABCA2	2509
ABCA3	190
ABCA4	38
ABCA5	1403
ABCA6	2289
ABCA7	398
ABCA8	539
ABCA9	152
ABCB10	1193
ABCB11	601
ABCB1	2185
ABCB4	3619
ABCB5	1
ABCB6	2334.5
ABCB7	757
ABCB8	1997
ABCB9	96.26
ABCC10	533
ABCC11	85
ABCC12	0
ABCC13	0
ABCC1	362
ABCC2	4653
ABCC3	5960
ABCC4	338
ABCC5	627
ABCC6P1	657
ABCC6P2	434
ABCC6	5272
ABCC8	1
ABCC9	635
ABCD1	1274
ABCD2	6
ABCD3	3963
ABCD4	1324
ABCE1	1637
ABCF1	3694
ABCF2	1554
ABCF3	2247
ABCG1	470
ABCG2	564
ABCG4	2
ABCG5	1594
ABCG8	2096
ABHD10	1288
ABHD11	625
ABHD12B	4
ABHD12	3006
ABHD13	603
ABHD14A	781.36
ABHD14B	5588
ABHD15	818
ABHD1	40
ABHD2	9894
ABHD3	1476
ABHD4	1591
ABHD5	780
ABHD6	1278
ABHD8	915
ABI1	1608.21
ABI2	676
ABI3BP	56
ABI3	268
ABL1	1710
ABL2	860
ABLIM1	2355
ABLIM2	133
ABLIM3	2262
ABO	1
ABP1	12
ABRA	0
ABR	412
ABT1	1310
ABTB1	956
ABTB2	799
ACAA1	8671
ACAA2	10939
ACACA	1743
ACACB	2841
ACAD10	1798
ACAD11	1904
ACAD8	1009
ACAD9	1954.98
ACADL	288
ACADM	3674
ACADSB	8141
ACADS	3210
ACADVL	17440.96
ACAN	21
ACAP1	102
ACAP2	993
ACAP3	1117.25
ACAT1	10668
ACAT2	2596.5
ACBD3	1960
ACBD4	1815
ACBD5	2444
ACBD6	845
ACBD7	25
ACCN1	1
ACCN2	41
ACCN3	25
ACCN4	0
ACCN5	0
ACCSL	0
ACCS	408
ACD	457
ACE2	31
ACER1	0
ACER2	26
ACER3	236
ACE	272
ACHE	70
ACIN1	3177
ACLY	3918
ACMSD	1945
ACN9	398
ACO1	5611
ACO2	5952.95
ACOT11	20.93
ACOT12	845
ACOT13	2723.85
ACOT1	2376
ACOT2	1214
ACOT4	491
ACOT6	27
ACOT7	1099
ACOT8	1055.64
ACOT9	691
ACOX1	8202.42
ACOX2	3358
ACOX3	936
ACOXL	1
ACP1	3398
ACP2	3638
ACP5	1271
ACP6	745
ACPL2	257
ACPP	3
ACPT	1
ACRBP	30
ACRC	24
ACRV1	1
ACR	7
ACSBG1	5
ACSBG2	0
ACSF2	2261
ACSF3	934
ACSL1	15362
ACSL3	3300
ACSL4	7306
ACSL5	3760
ACSL6	76
ACSM1	511
ACSM2A	8942
ACSM2B	9427
ACSM3	742.99
ACSM4	0
ACSM5	1846
ACSS1	505
ACSS2	3535
ACSS3	1435
ACTA1	3
ACTA2	4567.5
ACTBL2	0
ACTB	108568
ACTC1	1
ACTG1	60560
ACTG2	162
ACTL6A	963
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	1
ACTL9	0
ACTN1	5263
ACTN2	22
ACTN3	1
ACTN4	13424.13
ACTR10	1252
ACTR1A	3453
ACTR1B	2313
ACTR2	5844
ACTR3B	263
ACTR3C	176
ACTR3	3671
ACTR5	326
ACTR6	660
ACTR8	483
ACTRT1	0
ACTRT2	0
ACVR1B	2053
ACVR1C	41
ACVR1	945
ACVR2A	398
ACVR2B	320
ACVRL1	506
ACY1	8153.38
ACY3	612
ACYP1	64
ACYP2	313
ADAD1	0
ADAD2	1
ADAL	271
ADAM10	1497
ADAM11	11
ADAM12	36
ADAM15	3215
ADAM17	344
ADAM18	0
ADAM19	383
ADAM20	1
ADAM21P1	1
ADAM21	4
ADAM22	3
ADAM23	6
ADAM28	19
ADAM29	0
ADAM2	0
ADAM30	0
ADAM32	1
ADAM33	14
ADAM3A	0
ADAM5P	0
ADAM6	2605.76
ADAM7	0
ADAM8	169
ADAM9	1001
ADAMDEC1	13
ADAMTS10	288
ADAMTS12	16
ADAMTS13	190
ADAMTS14	30
